|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       7 |        2800 |       05:00:19 |         0.55 |         0.71 |       0.1506 |       0.2504 |      1.0000e-04 |
|       7 |        2850 |       05:05:39 |         0.76 |         0.71 |       0.2858 |       0.2489 |      1.0000e-04 |
|       7 |        2900 |       05:10:58 |         0.60 |         0.71 |       0.1811 |       0.2529 |      1.0000e-04 |
|       7 |        2950 |       05:16:14 |         0.64 |         0.71 |       0.2047 |       0.2487 |      1.0000e-04 |
|       7 |        3000 |       05:21:30 |         0.69 |         0.70 |       0.2350 |       0.2449 |      1.0000e-04 |
|       8 |        3050 |       05:26:46 |         0.62 |         0.70 |       0.1905 |       0.2449 |      1.0000e-04 |
|       8 |        3100 |       05:32:01 |         0.73 |         0.71 |       0.2677 |       0.2521 |      1.0000e-04 |
|       8 |        3150 |       05:37:19 |         0.60 |         0.69 |       0.1798 |       0.2412 |      1.0000e-04 |
|       8 |        3200 |       05:42:35 |         0.57 |         0.69 |       0.1639 |       0.2407 |      1.0000e-04 |
|       8 |        3250 |       05:47:52 |         0.57 |         0.69 |       0.1638 |       0.2402 |      1.0000e-04 |
|       8 |        3300 |       05:53:06 |         0.62 |         0.69 |       0.1895 |       0.2358 |      1.0000e-04 |
|       8 |        3350 |       05:58:21 |         0.70 |         0.69 |       0.2432 |       0.2374 |      1.0000e-04 |
|       8 |        3400 |       06:03:36 |         0.67 |         0.68 |       0.2224 |       0.2344 |      1.0000e-04 |
|       8 |        3450 |       06:08:51 |         0.66 |         0.69 |       0.2172 |       0.2351 |      1.0000e-04 |
|       9 |        3500 |       06:14:12 |         0.68 |         0.68 |       0.2330 |       0.2295 |      1.0000e-04 |
|       9 |        3550 |       06:19:26 |         0.57 |         0.68 |       0.1633 |       0.2310 |      1.0000e-04 |
|       9 |        3600 |       06:24:41 |         0.59 |         0.68 |       0.1733 |       0.2297 |      1.0000e-04 |
|       9 |        3650 |       06:29:57 |         0.71 |         0.67 |       0.2544 |       0.2250 |      1.0000e-04 |
|       9 |        3700 |       06:35:17 |         0.68 |         0.67 |       0.2339 |       0.2226 |      1.0000e-04 |
|       9 |        3750 |       06:40:35 |         0.78 |         0.67 |       0.3061 |       0.2232 |      1.0000e-04 |
|       9 |        3800 |       06:45:53 |         0.63 |         0.67 |       0.1993 |       0.2220 |      1.0000e-04 |
|       9 |        3850 |       06:51:08 |         0.56 |         0.67 |       0.1558 |       0.2240 |      1.0000e-04 |
|       9 |        3900 |       06:56:25 |         0.68 |         0.66 |       0.2315 |       0.2189 |      1.0000e-04 |
|      10 |        3950 |       07:01:41 |         0.64 |         0.66 |       0.2050 |       0.2190 |      1.0000e-04 |
