|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       7 |        2950 |       06:24:23 |         0.98 |         1.16 |       0.4830 |       0.6671 |          0.0010 |
|       7 |        3000 |       06:30:47 |         1.00 |         1.04 |       0.4964 |       0.5455 |          0.0010 |
|       8 |        3050 |       06:37:13 |         1.06 |         1.00 |       0.5629 |       0.4983 |          0.0010 |
|       8 |        3100 |       06:43:42 |         0.84 |         1.00 |       0.3521 |       0.4997 |          0.0010 |
|       8 |        3150 |       06:50:10 |         0.96 |         0.93 |       0.4614 |       0.4367 |          0.0010 |
|       8 |        3200 |       06:56:42 |         0.76 |         0.89 |       0.2857 |       0.4002 |          0.0010 |
|       8 |        3250 |       07:03:11 |         0.93 |         0.96 |       0.4296 |       0.4609 |          0.0010 |
|       8 |        3300 |       07:09:39 |         0.71 |         0.87 |       0.2545 |       0.3788 |          0.0010 |
|       8 |        3350 |       07:16:10 |         1.05 |         0.87 |       0.5485 |       0.3745 |          0.0010 |
|       8 |        3400 |       07:22:37 |         0.97 |         0.88 |       0.4722 |       0.3845 |          0.0010 |
|       8 |        3450 |       07:29:06 |         0.66 |         0.82 |       0.2180 |       0.3377 |          0.0010 |
|       9 |        3500 |       07:35:37 |         0.82 |         0.90 |       0.3329 |       0.4071 |          0.0010 |
|       9 |        3550 |       07:42:09 |         0.70 |         0.85 |       0.2459 |       0.3590 |          0.0010 |
|       9 |        3600 |       07:48:37 |         0.71 |         0.89 |       0.2516 |       0.3930 |          0.0010 |
|       9 |        3650 |       07:55:07 |         0.67 |         0.84 |       0.2222 |       0.3536 |          0.0010 |
|       9 |        3700 |       08:01:38 |         0.84 |         0.81 |       0.3510 |       0.3263 |          0.0010 |
|       9 |        3750 |       08:08:09 |         0.99 |         0.83 |       0.4910 |       0.3438 |          0.0010 |
|       9 |        3800 |       08:14:38 |         0.68 |         0.83 |       0.2329 |       0.3434 |          0.0010 |
|       9 |        3850 |       08:21:08 |         0.67 |         0.89 |       0.2256 |       0.3990 |          0.0010 |
|       9 |        3900 |       08:27:36 |         0.73 |         0.78 |       0.2654 |       0.3040 |          0.0010 |
|      10 |        3950 |       08:34:05 |         0.60 |         0.77 |       0.1782 |       0.2983 |          0.0010 |
|      10 |        4000 |       08:40:31 |         0.71 |         0.82 |       0.2553 |       0.3386 |          0.0010 |
|      10 |        4050 |       08:46:56 |         0.63 |         0.79 |       0.1977 |       0.3150 |          0.0010 |
|      10 |        4100 |       08:53:22 |         0.73 |         0.77 |       0.2636 |       0.2992 |          0.0010 |
|      10 |        4150 |       08:59:48 |         0.72 |         0.74 |       0.2623 |       0.2760 |          0.0010 |
|      10 |        4200 |       09:06:16 |         0.61 |         0.74 |       0.1842 |       0.2761 |          0.0010 |
|      10 |        4250 |       09:12:43 |         0.83 |         0.73 |       0.3424 |       0.2692 |          0.0010 |
|      10 |        4300 |       09:19:09 |         0.67 |         0.76 |       0.2254 |       0.2901 |          0.0010 |
|      10 |        4350 |       09:25:33 |         0.75 |         0.76 |       0.2814 |       0.2856 |          0.0010 |
|      11 |        4400 |       09:34:48 |         0.96 |         0.76 |       0.4610 |       0.2861 |          0.0010 |
|      11 |        4450 |       09:41:19 |         0.61 |         0.77 |       0.1891 |       0.2937 |          0.0010 |
|      11 |        4500 |       09:47:48 |         0.52 |         0.70 |       0.1358 |       0.2460 |          0.0010 |
|      11 |        4550 |       09:54:14 |         0.62 |         0.68 |       0.1936 |       0.2311 |          0.0010 |
|      11 |        4600 |       10:00:43 |         0.62 |         0.67 |       0.1946 |       0.2252 |          0.0010 |
|      11 |        4650 |       10:07:08 |         0.62 |         0.78 |       0.1942 |       0.3067 |          0.0010 |
|      11 |        4700 |       10:13:35 |         0.73 |         0.73 |       0.2634 |       0.2644 |          0.0010 |
|      11 |        4750 |       10:20:04 |         0.63 |         0.78 |       0.1967 |       0.3028 |          0.0010 |
|      12 |        4800 |       10:26:31 |         0.63 |         0.72 |       0.2010 |       0.2606 |          0.0010 |
|      12 |        4850 |       10:33:00 |         0.59 |         0.71 |       0.1740 |       0.2555 |          0.0010 |
|      12 |        4900 |       10:39:27 |         0.71 |         0.66 |       0.2544 |       0.2208 |          0.0010 |
|      12 |        4950 |       10:45:52 |         0.68 |         0.74 |       0.2300 |       0.2774 |          0.0010 |
|      12 |        5000 |       10:52:20 |         0.60 |         0.70 |       0.1777 |       0.2441 |          0.0010 |
|      12 |        5050 |       10:58:42 |         0.67 |         0.70 |       0.2243 |       0.2434 |          0.0010 |
|      12 |        5100 |       11:05:11 |         0.56 |         0.64 |       0.1559 |       0.2031 |          0.0010 |
|      12 |        5150 |       11:11:36 |         0.61 |         0.75 |       0.1839 |       0.2785 |          0.0010 |
|      12 |        5200 |       11:18:05 |         0.60 |         0.68 |       0.1827 |       0.2304 |          0.0010 |
|      13 |        5250 |       11:24:29 |         0.70 |         0.71 |       0.2459 |       0.2532 |          0.0010 |
|      13 |        5300 |       11:31:00 |         0.54 |         0.64 |       0.1443 |       0.2058 |          0.0010 |
|      13 |        5350 |       11:37:24 |         0.69 |         0.63 |       0.2356 |       0.1965 |          0.0010 |
|      13 |        5400 |       11:43:47 |         0.70 |         0.69 |       0.2484 |       0.2347 |          0.0010 |
|      13 |        5450 |       11:50:12 |         0.58 |         0.72 |       0.1669 |       0.2606 |          0.0010 |
|      13 |        5500 |       11:56:38 |         0.55 |         0.66 |       0.1486 |       0.2182 |          0.0010 |
|      13 |        5550 |       12:03:04 |         0.55 |         0.61 |       0.1513 |       0.1860 |          0.0010 |
|      13 |        5600 |       12:09:30 |         0.65 |         0.67 |       0.2083 |       0.2247 |          0.0010 |
|      13 |        5650 |       12:15:55 |         0.57 |         0.62 |       0.1629 |       0.1901 |          0.0010 |
|      14 |        5700 |       12:22:21 |         0.57 |         0.65 |       0.1616 |       0.2137 |          0.0010 |
|      14 |        5750 |       12:28:49 |         0.52 |         0.60 |       0.1329 |       0.1812 |          0.0010 |
|      14 |        5800 |       12:35:12 |         0.58 |         0.74 |       0.1687 |       0.2760 |          0.0010 |
|      14 |        5850 |       12:41:35 |         0.61 |         0.63 |       0.1837 |       0.1965 |          0.0010 |
|      14 |        5900 |       12:47:55 |         0.53 |         0.70 |       0.1425 |       0.2438 |          0.0010 |
|      14 |        5950 |       12:54:20 |         0.75 |         0.71 |       0.2788 |       0.2533 |          0.0010 |
|      14 |        6000 |       13:00:42 |         0.59 |         0.81 |       0.1746 |       0.3246 |          0.0010 |
|      14 |        6050 |       13:07:12 |         0.53 |         0.58 |       0.1407 |       0.1687 |          0.0010 |
|      15 |        6100 |       13:13:47 |         0.57 |         0.59 |       0.1612 |       0.1744 |          0.0010 |
|      15 |        6150 |       13:20:12 |         0.52 |         0.61 |       0.1345 |       0.1862 |          0.0010 |
|      15 |        6200 |       13:26:34 |         0.56 |         0.60 |       0.1593 |       0.1799 |          0.0010 |
|      15 |        6250 |       13:33:02 |         0.52 |         0.61 |       0.1345 |       0.1866 |          0.0010 |
|      15 |        6300 |       13:39:24 |         0.51 |         0.64 |       0.1308 |       0.2032 |          0.0010 |
|      15 |        6350 |       13:45:48 |         0.66 |         0.67 |       0.2180 |       0.2227 |          0.0010 |
|      15 |        6400 |       13:52:30 |         0.60 |         0.70 |       0.1820 |       0.2475 |          0.0010 |
|      15 |        6450 |       13:59:18 |         0.69 |         0.64 |       0.2381 |       0.2062 |          0.0010 |
|      15 |        6500 |       14:06:09 |         0.49 |         0.62 |       0.1215 |       0.1895 |          0.0010 |
|      16 |        6550 |       14:13:00 |         0.51 |         0.59 |       0.1275 |       0.1744 |          0.0010 |
|      16 |        6600 |       14:19:37 |         0.52 |         0.71 |       0.1368 |       0.2510 |          0.0010 |
|      16 |        6650 |       14:26:09 |         0.56 |         0.62 |       0.1556 |       0.1945 |          0.0010 |
|      16 |        6700 |       14:32:34 |         0.54 |         0.69 |       0.1445 |       0.2364 |          0.0010 |
|      16 |        6750 |       14:39:02 |         0.56 |         0.62 |       0.1586 |       0.1905 |          0.0010 |
|      16 |        6800 |       14:45:32 |         0.53 |         0.66 |       0.1406 |       0.2158 |          0.0010 |
|      16 |        6850 |       14:51:55 |         0.54 |         0.55 |       0.1468 |       0.1490 |          0.0010 |
|      16 |        6900 |       14:58:19 |         0.64 |         0.67 |       0.2024 |       0.2270 |          0.0010 |
|      16 |        6950 |       15:04:48 |         0.51 |         0.59 |       0.1294 |       0.1745 |          0.0010 |
|      17 |        7000 |       15:11:15 |         0.55 |         0.57 |       0.1534 |       0.1651 |          0.0010 |
|      17 |        7050 |       15:17:38 |         0.52 |         0.59 |       0.1352 |       0.1734 |          0.0010 |
|      17 |        7100 |       15:24:06 |         0.47 |         0.59 |       0.1096 |       0.1754 |          0.0010 |
|      17 |        7150 |       15:30:35 |         0.54 |         0.60 |       0.1465 |       0.1802 |          0.0010 |
|      17 |        7200 |       15:36:59 |         1.29 |         1.40 |       0.8317 |       0.9776 |          0.0010 |
|      17 |        7250 |       15:43:22 |         1.00 |         1.13 |       0.4971 |       0.6346 |          0.0010 |
|      17 |        7300 |       15:49:48 |         1.11 |         1.11 |       0.6107 |       0.6108 |          0.0010 |
|      17 |        7350 |       15:56:20 |         0.96 |         1.11 |       0.4595 |       0.6138 |          0.0010 |
|      18 |        7400 |       16:02:41 |         0.92 |         1.14 |       0.4244 |       0.6522 |          0.0010 |
|      18 |        7450 |       16:09:00 |         0.96 |         1.05 |       0.4571 |       0.5518 |          0.0010 |
|      18 |        7500 |       16:15:22 |         0.88 |         1.03 |       0.3880 |       0.5316 |          0.0010 |
|      18 |        7550 |       16:21:41 |         0.84 |         0.99 |       0.3504 |       0.4909 |          0.0010 |
|      18 |        7600 |       16:28:02 |         0.78 |         0.98 |       0.3059 |       0.4785 |          0.0010 |
|      18 |        7650 |       16:34:22 |         1.02 |         0.95 |       0.5178 |       0.4488 |          0.0010 |
|      18 |        7700 |       16:40:42 |         0.96 |         0.93 |       0.4585 |       0.4371 |          0.0010 |
|      18 |        7750 |       16:47:02 |         0.96 |         0.90 |       0.4593 |       0.4079 |          0.0010 |
|      18 |        7800 |       16:53:23 |         0.75 |         0.89 |       0.2839 |       0.3974 |          0.0010 |
|      19 |        7850 |       16:59:53 |         0.72 |         0.87 |       0.2612 |       0.3772 |          0.0010 |
|      19 |        7900 |       17:06:22 |         0.75 |         0.88 |       0.2808 |       0.3851 |          0.0010 |
|      19 |        7950 |       17:12:44 |         1.02 |         0.87 |       0.5219 |       0.3801 |          0.0010 |
|      19 |        8000 |       17:19:06 |         0.76 |         0.82 |       0.2920 |       0.3380 |          0.0010 |
|      19 |        8050 |       17:25:30 |         0.92 |         0.81 |       0.4191 |       0.3284 |          0.0010 |
